Temps;Mouvement X;Temps;Mouvement Y
0;-0.0371709820879256;0;-0.0809510691328873
0.4;-0.0511434547979398;0.4;-0.0737098255280074
0.6;-0.0633046810455448;0.6;-0.0631065759637188
0.8;-0.0741721598200004;0.8;-0.0493999362830532
1;-0.0824521436481569;1;-0.035951912445419
1.2;-0.0876271335407548;1.2;-0.0204349618635333
1.4;-0.0902146284870537;1.4;-0.00388354790952195
1.6;-0.0889208810139043;1.6;0.0118920185153951
1.8;-0.0860746365729754;1.8;0.0287020483124379
2;-0.0793471497125982;2;0.0431845355221978
2.2;-0.0710671658844416;2.2;0.0566325593598321
2.4;-0.0583884406475769;2.4;0.0685288881392777
2.6;-0.045968464905342;2.6;0.078356290174472
2.8;-0.0307022447221783;2.8;0.0848216862502577
3;-0.0156947740336444;3;0.0889595397387605
3.2;0.000606444128038831;3.2;0.0907698506399805
3.4;0.0182014097628716;3.4;0.0887009238957291
3.6;0.0326913814621456;3.6;0.0840458387211634
3.8;0.0471813531614196;3.8;0.0762873634302206
4;0.0603775773875442;4;0.0672358089241206
4.2;0.0709863066673698;4.2;0.0555980959877064
4.4;0.080301288474046;4.4;0.0413742246209779
4.6;0.0862525268505335;4.6;0.0261158898821236
4.8;0.0885812723022025;4.8;0.0103403234572066
5;0.0890987712914623;5;-0.00595247465377337
5.2;0.0865112763451634;5.2;-0.0217280410786905
5.4;0.0813362864525655;5.4;-0.0380208391896704
5.6;0.072797553129779;5.6;-0.0514688630273046
5.8;0.0624475733445833;5.8;-0.0638824234928131
6;0.0489925996238289;6;-0.0742270572140702
6.2;0.034243878429925;6.2;-0.081985532505013
6.4;0.0189776582467613;6.4;-0.0866406176795787
6.6;0.00164144210655841;6.6;-0.0889681602668616
6.8;-0.0136247780766053;6.8;-0.0881923127377673
